僭,4,105,159,254,243,24,25,9
僮,3,112,122,245,245,22,25,9
僯,4,102,166,246,243,24,22,7
僰,3,123,113,245,246,32,15,4
僳,3,110,120,254,240,23,24,8
僴,3,80,148,245,244,22,25,10
僵,5,223,107,248,243,22,25,14
僻,4,92,135,249,243,26,22,7
僾,8,194,168,247,244,24,22,11
僿,4,158,145,246,246,32,15,7
儃,6,186,121,245,242,26,20,11
儅,5,138,140,245,247,34,14,11
儆,2,71,125,257,244,22,27,6
儇,4,148,116,248,241,22,23,9
儊,4,121,155,250,245,34,14,5
儋,6,166,147,246,243,25,21,9
儌,2,68,124,251,243,23,25,7
儍,8,161,171,247,242,24,22,10
儒,7,157,134,249,242,24,23,8
儓,5,189,132,249,249,34,14,7
儜,8,198,150,246,242,23,24,12
儞,4,95,154,251,243,22,26,4
儡,4,98,151,244,246,23,24,17
儤,5,148,148,248,245,32,14,9
儦,7,113,176,248,245,31,16,13
儩,5,82,197,246,246,29,17,11
儭,3,74,184,255,244,23,25,8
儱,4,86,181,253,243,22,26,8
儳,3,73,132,250,246,22,25,9
儹,1,64,62,252,243,22,26,8
儽,7,163,169,244,245,29,17,20
儿,2,52,110,238,220,25,11,3
兀,1,60,54,233,211,18,15,2
允,1,60,60,235,234,27,14,2
元,2,105,43,237,216,21,14,3
兄,1,59,58,231,226,21,14,3
充,1,60,62,234,242,25,17,2
兆,4,87,150,235,234,23,17,5
先,1,59,60,231,235,23,18,2
光,3,88,94,237,239,27,16,4
克,1,60,61,236,240,27,17,3
免,1,62,61,241,239,23,22,5
児,4,92,114,237,228,23,17,7
兑,2,72,78,240,248,36,9,4
兒,1,60,59,234,230,22,17,2
兔,2,70,72,236,244,25,20,6
兕,1,59,58,231,226,17,19,3
兖,4,160,89,238,247,34,11,5
兘,4,141,97,247,234,23,20,6
兙,2,89,117,241,245,35,10,4
党,4,143,91,242,245,25,20,6
兛,2,92,117,241,246,35,10,4
兜,5,105,150,240,244,25,20,8
兝,3,108,141,246,245,33,13,5
兞,2,92,112,246,245,33,13,4
兟,1,65,61,253,240,25,23,2
兡,2,92,109,247,246,34,13,6
兢,2,66,124,244,241,23,22,5
兣,3,128,156,250,241,30,16,9
入,1,61,57,237,223,27,11,2
全,1,61,59,239,230,29,15,3
兪,6,134,152,242,239,24,21,8
八,2,52,109,242,214,27,10,3
公,3,102,97,242,213,25,10,4
六,3,111,85,243,223,28,12,4
兮,2,76,84,241,226,26,15,3
兰,4,172,51,246,228,39,6,5
共,3,105,76,230,232,24,16,5
兲,3,111,85,238,233,32,9,4
关,3,82,74,224,240,26,15,4
兴,5,137,134,241,237,34,9,6
兵,3,110,73,237,234,27,15,5
其,3,108,73,236,238,25,18,7
具,4,148,71,241,237,22,21,8
典,3,111,78,243,243,23,22,10
兹,2,92,105,243,239,33,12,3
养,1,63,63,247,245,23,24,2
兼,1,62,62,242,242,22,23,7
兽,3,151,64,246,247,35,12,9
冀,5,161,86,243,243,21,24,12
冁,2,71,75,249,242,28,18,10
冂,1,53,55,206,216,19,11,2
冃,3,125,68,213,224,15,17,4
内,1,54,58,210,227,18,16,2
円,1,52,55,204,214,11,18,4
冇,1,60,62,234,243,36,8,2
冈,2,84,98,198,235,21,8,3
冉,1,62,60,244,235,27,17,6
册,1,62,56,242,221,18,20,4
再,1,62,57,242,224,18,20,6
冏,2,81,79,214,217,13,18,5
冑,4,140,69,202,241,14,20,9
冒,2,93,56,202,232,14,19,8
冓,1,62,61,244,240,20,26,8
冔,5,164,104,227,239,28,10,7
冕,3,136,69,241,237,20,23,7
冖,1,55,17,217,66,0,0,2
冗,2,114,57,229,218,19,15,3
冘,1,61,62,240,241,30,15,2
写,2,119,64,240,228,22,18,3
军,2,119,68,238,241,33,10,3
